N,fx,fy,fs,direction,dropout,hidden_size,lr,num_layers,n_params,inference_10k_s,train_time_s,accuracy,precision,recall,f1,best_epoch
100,17,39,450,bidirectional,0,128,0.001,1,136714,0.227763457,212.4839327,89.56,89.46318159,89.43680019,89.44095546,21
100,17,39,450,bidirectional,0,128,0.01,1,136714,0.270127417,222.1147375,90.22,90.19779349,90.1399259,90.1470308,17
100,17,39,450,unidirectional,0,128,0.001,1,68362,0.112653815,285.7292744,90.02,89.94303156,89.89934839,89.91519176,33
100,17,39,450,unidirectional,0,128,0.01,1,68362,0.12401649,166.1505735,90.49,90.46779946,90.38110709,90.40404421,21
100,17,39,450,bidirectional,0.2,128,0.001,1,136714,0.231581276,274.2997213,90.22,90.13358299,90.10382741,90.11119196,28
100,17,39,450,bidirectional,0.2,128,0.01,1,136714,0.254333667,366.8188382,90.54,90.47311162,90.45132306,90.44831698,33
100,17,39,450,unidirectional,0.2,128,0.001,1,68362,0.125515369,316.4647376,89.92,89.85083483,89.79163827,89.81451903,46
100,17,39,450,unidirectional,0.2,128,0.01,1,68362,0.136382824,312.9686822,90.65,90.60887785,90.54948115,90.57286577,48
100,17,39,450,bidirectional,0,128,0.001,2,531978,0.600721336,346.7529319,90.4,90.328442,90.29498442,90.28757818,18
100,17,39,450,bidirectional,0,128,0.01,2,531978,0.545056399,268.2365901,88.43,88.51750329,88.23291817,88.30522289,10
100,17,39,450,unidirectional,0,128,0.001,2,200458,0.225224291,318.1986856,90.28,90.19305627,90.14700736,90.16248659,32
100,17,39,450,unidirectional,0,128,0.01,2,200458,0.289984607,377.4609867,84.65,84.67977299,84.52354931,84.51299009,50
100,17,39,450,bidirectional,0.2,128,0.001,2,531978,0.537245895,399.1105542,90.49,90.38874995,90.39216981,90.37802815,21
100,17,39,450,bidirectional,0.2,128,0.01,2,531978,0.442771289,403.7264683,92.22,92.14212371,92.14424531,92.14047375,33
100,17,39,450,unidirectional,0.2,128,0.001,2,200458,0.281106243,386.5561766,91.15,91.05159591,91.04639951,91.04680573,32
100,17,39,450,unidirectional,0.2,128,0.01,2,200458,0.289265195,453.3391993,91.04,90.97133614,90.93790633,90.93365469,48
100,17,39,450,bidirectional,0,128,0.001,3,927242,0.781399189,463.0576522,90.57,90.52148136,90.4543863,90.47931581,17
100,17,39,450,bidirectional,0,128,0.01,3,927242,0.721987555,242.3806877,84.24,84.05664408,84.04919283,84.03087708,10
100,17,39,450,unidirectional,0,128,0.001,3,332554,0.418702096,403.0288666,90.78,90.69515995,90.67324119,90.6800841,33
100,17,39,450,unidirectional,0,128,0.01,3,332554,0.29602526,297.8534368,90.7,90.64956025,90.59083859,90.61167271,33
100,17,39,450,bidirectional,0.2,128,0.001,3,927242,0.799115476,555.802699,91.32,91.23650968,91.22956621,91.22913516,23
100,17,39,450,bidirectional,0.2,128,0.01,3,927242,0.729622236,195.7242256,74.14,73.95863793,73.82736192,73.72533907,3
100,17,39,450,unidirectional,0.2,128,0.001,3,332554,0.32753039,360.3467703,91.14,91.07802792,91.02798288,91.04584256,31
100,17,39,450,unidirectional,0.2,128,0.01,3,332554,0.331002676,373.7789237,77.38,77.06909452,77.04912559,77.0107563,49
100,17,39,450,bidirectional,0,128,0.001,4,1322506,1.216174275,551.0919979,90.79,90.73486585,90.66925498,90.68999521,16
100,17,39,450,bidirectional,0,128,0.01,4,1322506,1.160887918,789.404342,89.64,89.52625742,89.5190405,89.51622034,31
100,17,39,450,unidirectional,0,128,0.001,4,464650,0.480302771,292.5794639,90.41,90.33866188,90.3131854,90.31678539,18
100,17,39,450,unidirectional,0,128,0.01,4,464650,0.508652819,169.9860017,11.35,1.135,10,2.038616974,5
100,17,39,450,bidirectional,0.2,128,0.001,4,1322506,1.295882654,1118.973199,91.11,91.03429019,91.01775747,91.01992237,33
100,17,39,450,bidirectional,0.2,128,0.01,4,1322506,1.16559809,403.6464156,84.76,84.56756155,84.58990125,84.53672353,7
100,17,39,450,unidirectional,0.2,128,0.001,4,464650,0.533295021,627.7254576,90.87,90.7783799,90.75794977,90.76586804,43
100,17,39,450,unidirectional,0.2,128,0.01,4,464650,0.496775297,478.2512053,88.56,88.43925655,88.44384891,88.42729762,35
100,17,39,450,bidirectional,0,256,0.001,1,535562,0.738369936,423.2010111,90.66,90.57904489,90.5757073,90.5681122,19
100,17,39,450,bidirectional,0,256,0.01,1,535562,0.760415195,597.7618194,91.9,91.88962976,91.81851449,91.84036785,32
100,17,39,450,unidirectional,0,256,0.001,1,267786,0.519227254,398.6380475,90.73,90.64597539,90.59083815,90.61249457,25
100,17,39,450,unidirectional,0,256,0.01,1,267786,0.45695174,268.6394011,91.07,91.04199238,90.94385389,90.97220715,16
100,17,39,450,bidirectional,0.2,256,0.001,1,535562,0.736763306,419.1707993,91.04,90.9827874,90.93359573,90.94969165,17
100,17,39,450,bidirectional,0.2,256,0.01,1,535562,0.653166806,602.9048918,91.42,91.37130363,91.32866493,91.3455281,31
100,17,39,450,unidirectional,0.2,256,0.001,1,267786,0.540150964,482.4160693,91.37,91.29951363,91.25191882,91.26768924,31
100,17,39,450,unidirectional,0.2,256,0.01,1,267786,0.504021799,533.622742,76.91,76.85622397,76.61521127,76.5353107,39
100,17,39,450,bidirectional,0,256,0.001,2,2112522,1.868277328,1691.236736,90.85,90.75961423,90.75336623,90.75461958,43
100,17,39,450,bidirectional,0,256,0.01,2,2112522,1.55035325,1586.328193,82.79,82.72818116,82.58277912,82.56204318,50
100,17,39,450,unidirectional,0,256,0.001,2,794122,0.96846364,471.5234349,90.71,90.6080646,90.62367748,90.60315379,16
100,17,39,450,unidirectional,0,256,0.01,2,794122,0.761281098,219.397091,36.58,26.18931885,35.97785257,29.68473572,4
100,17,39,450,bidirectional,0.2,256,0.001,2,2112522,1.883276694,1123.43194,91.5,91.43556384,91.42421406,91.42134663,22
100,17,39,450,bidirectional,0.2,256,0.01,2,2112522,1.863975559,1554.317681,92.01,91.96373901,91.92291285,91.93729063,46
100,17,39,450,unidirectional,0.2,256,0.001,2,794122,0.982802245,922.3117852,91.61,91.53242478,91.52327635,91.52341722,42
100,17,39,450,unidirectional,0.2,256,0.01,2,794122,0.7413471,744.2189386,91.14,91.10355938,91.00603496,91.04086473,46
100,17,39,450,bidirectional,0,256,0.001,3,3689482,2.939444664,1453.09264,91,90.92077694,90.89584378,90.9022232,16
100,17,39,450,bidirectional,0,256,0.01,3,3689482,3.035704819,2217.649459,91.46,91.4042349,91.36160351,91.3726129,32
100,17,39,450,unidirectional,0,256,0.001,3,1320458,1.393799401,677.1682981,90.81,90.71486089,90.70050911,90.69230154,16
100,17,39,450,unidirectional,0,256,0.01,3,1320458,1.312356417,766.7352737,44.08,42.81669004,43.33559751,40.11099513,20
100,17,39,450,bidirectional,0.2,256,0.001,3,3689482,2.817496603,1338.428029,91.4,91.36244817,91.29931425,91.32425285,17
100,17,39,450,bidirectional,0.2,256,0.01,3,3689482,3.052845655,793.3668457,11.35,1.135,10,2.038616974,5
100,17,39,450,unidirectional,0.2,256,0.001,3,1320458,1.115981637,1267.49482,91.66,91.58448677,91.57030532,91.57264738,38
100,17,39,450,unidirectional,0.2,256,0.01,3,1320458,1.335757377,393.6547377,31.32,26.30042297,30.8009829,25.41579832,5
100,17,39,450,bidirectional,0,256,0.001,4,5266442,3.904670339,1992.246055,91.22,91.13892556,91.12750731,91.12955715,17
100,17,39,450,bidirectional,0,256,0.01,4,5266442,4.117677091,883.1847315,17.18,7.003275058,16.66496117,8.969212438,2
100,17,39,450,unidirectional,0,256,0.001,4,1846794,1.696106456,1279.515566,91.92,91.84360342,91.84427953,91.84269877,33
100,17,39,450,unidirectional,0,256,0.01,4,1846794,1.709356591,344.7718419,11.35,1.135,10,2.038616974,1
100,17,39,450,bidirectional,0.2,256,0.001,4,5266442,4.275097339,2788.356384,91.61,91.57777093,91.50015422,91.52811485,26
100,17,39,450,bidirectional,0.2,256,0.01,4,5266442,3.923512315,797.9030641,11.35,1.135,10,2.038616974,1
100,17,39,450,unidirectional,0.2,256,0.001,4,1846794,1.749829566,1671.152948,91.76,91.69797467,91.67741108,91.68439062,50
100,17,39,450,unidirectional,0.2,256,0.01,4,1846794,1.638714412,523.4278763,11.35,1.135,10,2.038616974,6
200,37,23,800,bidirectional,0,128,0.001,1,136714,0.3836945,388.7817486,92.32,92.24015001,92.27068135,92.2462638,48
200,37,23,800,bidirectional,0,128,0.01,1,136714,0.3823612,132.1179589,86.44,86.43116394,86.36050162,86.27565995,7
200,37,23,800,unidirectional,0,128,0.001,1,68362,0.184673,187.5371364,92.84,92.79788691,92.7703661,92.76742647,34
200,37,23,800,unidirectional,0,128,0.01,1,68362,0.1952969,164.8436306,91.41,91.33985089,91.32934484,91.32139392,28
200,37,23,800,bidirectional,0.2,128,0.001,1,136714,0.3859085,387.5174146,93.25,93.18212698,93.20368784,93.18506276,41
200,37,23,800,bidirectional,0.2,128,0.01,1,136714,0.3801641,392.2322133,91.23,91.16987344,91.16928736,91.16608171,47
200,37,23,800,unidirectional,0.2,128,0.001,1,68362,0.1961906,228.4936574,92.53,92.45687629,92.4502873,92.44493961,49
200,37,23,800,unidirectional,0.2,128,0.01,1,68362,0.2003554,187.2663942,93.24,93.16536763,93.17838804,93.16718999,31
200,37,23,800,bidirectional,0,128,0.001,2,531978,0.793301,689.4911356,93.79,93.71018018,93.75105168,93.72454204,41
200,37,23,800,bidirectional,0,128,0.01,2,531978,0.7413061,622.3641587,92.85,92.7743061,92.79224955,92.77482929,42
200,37,23,800,unidirectional,0,128,0.001,2,200458,0.3979551,82.6320341,11.35,1.135,10,2.038616974,1
200,37,23,800,unidirectional,0,128,0.01,2,200458,0.3904409,81.9963674,11.35,1.135,10,2.038616974,1
200,37,23,800,bidirectional,0.2,128,0.001,2,531978,0.7408138,625.0086352,94.17,94.10864354,94.12832152,94.11022857,37
200,37,23,800,bidirectional,0.2,128,0.01,2,531978,0.7420795,293.7710714,84.66,85.55974926,84.48949762,84.70496777,13
200,37,23,800,unidirectional,0.2,128,0.001,2,200458,0.3626726,81.4785546,21.8,13.81883204,21.07606382,12.98336971,1
200,37,23,800,unidirectional,0.2,128,0.01,2,200458,0.3576701,78.8715651,11.35,1.135,10,2.038616974,1
200,37,23,800,bidirectional,0,128,0.001,3,927242,1.1177977,482.5695576,93.75,93.72702616,93.67874828,93.68637736,17
200,37,23,800,bidirectional,0,128,0.01,3,927242,1.1199213,891.3022516,81.58,81.55146524,81.42531797,81.44975741,50
200,37,23,800,unidirectional,0,128,0.001,3,332554,0.539456,273.2083001,93.28,93.22645443,93.23574225,93.21420335,18
200,37,23,800,unidirectional,0,128,0.01,3,332554,0.5358139,115.1889931,11.35,1.135,10,2.038616974,2
200,37,23,800,bidirectional,0.2,128,0.001,3,927242,1.1191561,763.8259548,94.51,94.43941885,94.4693854,94.45248674,31
200,37,23,800,bidirectional,0.2,128,0.01,3,927242,1.1388844,344.4088142,65.97,65.6598372,65.68945418,65.43550243,8
200,37,23,800,unidirectional,0.2,128,0.001,3,332554,0.540884,125.217761,11.35,1.135,10,2.038616974,1
200,37,23,800,unidirectional,0.2,128,0.01,3,332554,0.5371818,462.6410542,94.09,94.03024484,94.0462276,94.03395512,33
200,37,23,800,bidirectional,0,128,0.001,4,1322506,1.5112068,1184.561561,94.18,94.10328042,94.11869392,94.10817235,48
200,37,23,800,bidirectional,0,128,0.01,4,1322506,1.5142687,518.6743348,11.55,5.488071215,10.20533881,2.439230539,12
200,37,23,800,unidirectional,0,128,0.001,4,464650,0.7179629,544.8378235,93.39,93.31458853,93.33941324,93.32008041,35
200,37,23,800,unidirectional,0,128,0.01,4,464650,0.7176484,134.1219119,11.35,1.135,10,2.038616974,1
200,37,23,800,bidirectional,0.2,128,0.001,4,1322506,1.514027,729.6718563,93.88,93.84819917,93.82183484,93.82361211,19
200,37,23,800,bidirectional,0.2,128,0.01,4,1322506,1.5129856,303.9487429,11.68,10.30576743,10.32101167,2.665530052,2
200,37,23,800,unidirectional,0.2,128,0.001,4,464650,0.7142178,703.0816931,94.11,94.05275824,94.05934888,94.05038927,50
200,37,23,800,unidirectional,0.2,128,0.01,4,464650,0.7162658,156.7989143,11.37,11.13522705,10.02242152,2.083725932,1
200,37,23,800,bidirectional,0,256,0.001,1,535562,1.5494341,662.1391759,93.48,93.41021538,93.44109288,93.41321021,17
200,37,23,800,bidirectional,0,256,0.01,1,535562,1.6749488,1226.91993,87.48,87.49681187,87.45500918,87.31883102,44
200,37,23,800,unidirectional,0,256,0.001,1,267786,0.6877615,576.8040917,93.73,93.64579684,93.68661487,93.65389218,31
200,37,23,800,unidirectional,0,256,0.01,1,267786,0.8111251,451.7332642,92.19,92.13102915,92.08598403,92.09052613,23
200,37,23,800,bidirectional,0.2,256,0.001,1,535562,1.7202924,1040.004669,93.79,93.7313824,93.74054407,93.72855665,32
200,37,23,800,bidirectional,0.2,256,0.01,1,535562,1.4106172,1090.951504,93.8,93.75463256,93.72762461,93.73107465,34
200,37,23,800,unidirectional,0.2,256,0.001,1,267786,0.8881702,562.8288849,93.06,92.9806547,92.99047181,92.98194259,31
200,37,23,800,unidirectional,0.2,256,0.01,1,267786,0.742451,580.0973919,84.9,85.45806435,84.78582343,84.82496626,32
200,37,23,800,bidirectional,0,256,0.001,2,2112522,4.0049216,2526.734648,94.34,94.2599471,94.29764201,94.27339738,34
200,37,23,800,bidirectional,0,256,0.01,2,2112522,4.5600375,634.9444947,11.35,1.135,10,2.038616974,1
200,37,23,800,unidirectional,0,256,0.001,2,794122,1.908588,1002.407614,93.54,93.48009923,93.49184715,93.48028088,31
200,37,23,800,unidirectional,0,256,0.01,2,794122,1.5970331,1220.97204,91.9,91.81762052,91.81931762,91.79710053,50
200,37,23,800,bidirectional,0.2,256,0.001,2,2112522,4.5429357,1789.444533,93.95,93.87089651,93.90094755,93.87875969,19
200,37,23,800,bidirectional,0.2,256,0.01,2,2112522,4.4827578,3086.17174,53.14,53.74935043,52.52873986,51.24874447,41
200,37,23,800,unidirectional,0.2,256,0.001,2,794122,1.7698716,1429.648854,93.21,93.12990048,93.15197089,93.13711209,46
200,37,23,800,unidirectional,0.2,256,0.01,2,794122,1.8549086,342.4847795,11.35,1.135,10,2.038616974,2
200,37,23,800,bidirectional,0,256,0.001,3,3689482,6.250988,2515.183636,94.75,94.70986267,94.70426006,94.69860061,16
200,37,23,800,bidirectional,0,256,0.01,3,3689482,6.3016865,1255.772304,35.53,30.81732781,34.44474068,28.01221831,3
200,37,23,800,unidirectional,0,256,0.001,3,1320458,3.5186744,457.4785145,11.35,1.135,10,2.038616974,1
200,37,23,800,unidirectional,0,256,0.01,3,1320458,3.1669047,666.3205481,11.35,1.135,10,2.038616974,6
200,37,23,800,bidirectional,0.2,256,0.001,3,3689482,6.089979,4403.650182,94.77,94.71575946,94.74163264,94.72399641,35
200,37,23,800,bidirectional,0.2,256,0.01,3,3689482,6.1315016,1550.148219,11.46,4.931404521,10.11293634,2.263282187,6
200,37,23,800,unidirectional,0.2,256,0.001,3,1320458,3.2323441,2037.607527,94.47,94.39382681,94.43861151,94.4111544,36
200,37,23,800,unidirectional,0.2,256,0.01,3,1320458,2.9548264,479.0293894,11.35,1.135,10,2.038616974,1
200,37,23,800,bidirectional,0,256,0.001,4,5266442,7.8319554,3261.052616,94.44,94.37673659,94.37808266,94.3735832,16
200,37,23,800,bidirectional,0,256,0.01,4,5266442,7.9016813,1360.471417,11.35,1.135,10,2.038616974,1
200,37,23,800,unidirectional,0,256,0.001,4,1846794,4.111813,2668.68677,93.84,93.77135017,93.78174074,93.7745215,38
200,37,23,800,unidirectional,0,256,0.01,4,1846794,4.2876648,1331.158343,11.35,1.135,10,2.038616974,14
200,37,23,800,bidirectional,0.2,256,0.001,4,5266442,8.6619302,5240.139742,94.65,94.59647769,94.60587637,94.59775294,31
200,37,23,800,bidirectional,0.2,256,0.01,4,5266442,8.1545907,2645.670143,11.35,1.135,10,2.038616974,11
200,37,23,800,unidirectional,0.2,256,0.001,4,1846794,4.0878332,2381.798855,94.45,94.38530405,94.40301187,94.39051835,31
200,37,23,800,unidirectional,0.2,256,0.01,4,1846794,3.9270831,635.4072137,11.35,1.135,10,2.038616974,1
