N,fx,fy,fs,direction,dropout,hidden_size,lr,num_layers,n_params,inference_10k_s,train_time_s,accuracy,precision,recall,f1,best_epoch
500,39,41,1200,bidirectional,0,128,0.001,1,136714,1.131541469,662.1694833,96.04,95.99156874,96.02144013,96.00020701,19
500,39,41,1200,bidirectional,0,128,0.01,1,136714,1.114022435,246.73238,47.36,47.54595627,47.08105947,46.05259029,1
500,39,41,1200,unidirectional,0,128,0.001,1,68362,0.567958134,648.0428627,96.15,96.12805884,96.11430624,96.11772561,37
500,39,41,1200,unidirectional,0,128,0.01,1,68362,0.556214458,416.8827382,92.36,92.38842001,92.29108024,92.29449995,22
500,39,41,1200,bidirectional,0.2,128,0.001,1,136714,1.139698636,1027.857959,95.83,95.80459484,95.78376069,95.79162455,35
500,39,41,1200,bidirectional,0.2,128,0.01,1,136714,1.080397072,625.8973537,89.23,89.27659074,89.11882155,89.13814572,18
500,39,41,1200,unidirectional,0.2,128,0.001,1,68362,0.567336711,152.0506861,50.65,49.71100486,50.16645743,47.70091662,1
500,39,41,1200,unidirectional,0.2,128,0.01,1,68362,0.561114379,284.0610917,92.6,92.58508053,92.53333612,92.50096642,11
500,39,41,1200,bidirectional,0,128,0.001,2,531978,2.725656891,1856.503963,95.82,95.77782399,95.75712233,95.76437724,31
500,39,41,1200,bidirectional,0,128,0.01,2,531978,2.71468623,1962.329312,95.55,95.51878263,95.51405193,95.50574693,31
500,39,41,1200,unidirectional,0,128,0.001,2,200458,1.165583405,798.5872063,95.79,95.76916566,95.76861898,95.75905565,24
500,39,41,1200,unidirectional,0,128,0.01,2,200458,1.16881159,1122.708721,93.85,93.8063862,93.79399649,93.7835201,46
500,39,41,1200,bidirectional,0.2,128,0.001,2,531978,2.621426042,2001.687804,96.43,96.39929394,96.39625413,96.39630089,31
500,39,41,1200,bidirectional,0.2,128,0.01,2,531978,2.681662672,2454.684391,94.05,94.04097789,93.99969518,93.98906384,50
500,39,41,1200,unidirectional,0.2,128,0.001,2,200458,1.234668915,1188.875298,96.66,96.63358892,96.64454018,96.63573084,49
500,39,41,1200,unidirectional,0.2,128,0.01,2,200458,1.142254124,1116.831711,95.71,95.66462905,95.65932937,95.65487263,46
500,39,41,1200,bidirectional,0,128,0.001,3,927242,4.294657325,3766.22168,96.46,96.42124642,96.4225456,96.42057194,43
500,39,41,1200,bidirectional,0,128,0.01,3,927242,3.870586492,3301.008025,87.22,87.22579486,87.13590468,87.05754151,48
500,39,41,1200,unidirectional,0,128,0.001,3,332554,1.923883674,1671.947738,96.13,96.09957644,96.09756939,96.09545116,41
500,39,41,1200,unidirectional,0,128,0.01,3,332554,1.82341916,922.3571987,87.81,87.72081594,87.64269988,87.60906757,18
500,39,41,1200,bidirectional,0.2,128,0.001,3,927242,4.031483133,4041.049965,96.67,96.63922535,96.64991857,96.64266488,47
500,39,41,1200,bidirectional,0.2,128,0.01,3,927242,4.159611643,1726.938881,86.48,86.43718365,86.24215957,86.30273483,13
500,39,41,1200,unidirectional,0.2,128,0.001,3,332554,1.920255309,1794.401625,96.61,96.59655192,96.57830124,96.58556448,47
500,39,41,1200,unidirectional,0.2,128,0.01,3,332554,1.829069232,1740.818583,96.48,96.45733714,96.44842931,96.45208254,50
500,39,41,1200,bidirectional,0,128,0.001,4,1322506,5.596324093,4872.203675,96.72,96.69899473,96.6892685,96.69222451,43
500,39,41,1200,bidirectional,0,128,0.01,4,1322506,5.442164718,4967.258991,93.84,93.80706554,93.77601953,93.77642865,50
500,39,41,1200,unidirectional,0,128,0.001,4,464650,2.474795283,1198.710759,96.03,96.01038032,95.99791823,95.99813252,18
500,39,41,1200,unidirectional,0,128,0.01,4,464650,2.457933261,2186.457752,94.9,94.84732179,94.84251628,94.8399001,47
500,39,41,1200,bidirectional,0.2,128,0.001,4,1322506,5.889946571,4410.968519,96.82,96.81899773,96.78810913,96.79906971,31
500,39,41,1200,bidirectional,0.2,128,0.01,4,1322506,5.78926303,4876.234726,95.6,95.57132587,95.53614776,95.54708301,36
500,39,41,1200,unidirectional,0.2,128,0.001,4,464650,2.531249239,1825.560311,96.44,96.40787884,96.4044025,96.40564183,31
500,39,41,1200,unidirectional,0.2,128,0.01,4,464650,2.376643696,474.9346037,11.35,1.135,10,2.038616974,1
500,39,41,1200,bidirectional,0,256,0.001,1,535562,4.01046111,2624.942274,96.62,96.59736131,96.59103711,96.59182544,31
500,39,41,1200,bidirectional,0,256,0.01,1,535562,4.005055378,3191.053438,94.83,94.79056588,94.76739227,94.77383525,46
500,39,41,1200,unidirectional,0,256,0.001,1,267786,2.662350322,2210.0149,95.52,95.47037507,95.46588238,95.46396235,46
500,39,41,1200,unidirectional,0,256,0.01,1,267786,2.983681692,2137.086513,94.94,94.91014371,94.88718154,94.89521525,38
500,39,41,1200,bidirectional,0.2,256,0.001,1,535562,4.043403293,3240.383363,96.37,96.34000265,96.33973528,96.3371781,48
500,39,41,1200,bidirectional,0.2,256,0.01,1,535562,4.014032647,805.7265014,57.2,63.0077142,56.77947941,55.51485399,3
500,39,41,1200,unidirectional,0.2,256,0.001,1,267786,2.849728489,2216.023417,95.86,95.85323438,95.81773665,95.82587741,44
500,39,41,1200,unidirectional,0.2,256,0.01,1,267786,2.689688965,2253.427063,62.38,61.51223225,61.87153318,60.53351161,50
500,39,41,1200,bidirectional,0,256,0.001,2,2112522,10.07480667,8026.484021,96.85,96.8192058,96.81138946,96.81379474,42
500,39,41,1200,bidirectional,0,256,0.01,2,2112522,9.214159016,1629.277562,34.26,31.49200814,33.84779353,29.29910171,1
500,39,41,1200,unidirectional,0,256,0.001,2,794122,4.936251342,3572.762561,96.81,96.78094752,96.78792845,96.782318,35
500,39,41,1200,unidirectional,0,256,0.01,2,794122,4.701447591,3555.125532,94.74,94.69966447,94.70877489,94.69353716,36
500,39,41,1200,bidirectional,0.2,256,0.001,2,2112522,4.598188666,6456.309683,96.09,96.0625182,96.05878293,96.05796873,33
500,39,41,1200,bidirectional,0.2,256,0.01,2,2112522,9.069603864,2845.755053,82.36,82.73796978,82.21057689,82.17789206,8
500,39,41,1200,unidirectional,0.2,256,0.001,2,794122,4.864689717,893.9230471,71.97,71.86301415,71.41687734,71.08900044,1
500,39,41,1200,unidirectional,0.2,256,0.01,2,794122,4.551294144,1694.761956,94.1,94.05371054,94.02669804,94.02071889,13
500,39,41,1200,bidirectional,0,256,0.001,3,3689482,7.325539728,5272.059185,96.32,96.29406257,96.28461882,96.28751504,34
500,39,41,1200,bidirectional,0,256,0.01,3,3689482,15.26062329,4955.971467,32.35,23.27289074,31.65750342,26.02124934,10
500,39,41,1200,unidirectional,0,256,0.001,3,1320458,2.881466308,2176.105341,96.79,96.76386646,96.73806276,96.74956645,31
500,39,41,1200,unidirectional,0,256,0.01,3,1320458,5.969858141,1179.315207,11.35,1.135,10,2.038616974,1
500,39,41,1200,bidirectional,0.2,256,0.001,3,3689482,7.322957075,5306.990078,96.63,96.59084982,96.59925108,96.5941306,33
500,39,41,1200,bidirectional,0.2,256,0.01,3,3689482,15.71443281,3167.941965,47.6,44.7536072,47.33658607,44.94949383,2
500,39,41,1200,unidirectional,0.2,256,0.001,3,1320458,2.872072278,2644.340279,97.02,96.98397031,96.99122284,96.98612816,38
500,39,41,1200,unidirectional,0.2,256,0.01,3,1320458,6.275771807,1297.776739,11.35,1.135,10,2.038616974,1
500,39,41,1200,bidirectional,0,256,0.001,4,5266442,10.06162475,8211.037861,96.48,96.4349892,96.44749584,96.43967357,47
500,39,41,1200,bidirectional,0,256,0.01,4,5266442,21.00052575,3840.750585,38.09,35.43095842,37.47529283,33.33062088,1
500,39,41,1200,unidirectional,0,256,0.001,4,1846794,3.994712906,1824.412594,96.38,96.35031566,96.33943656,96.33852048,17
500,39,41,1200,unidirectional,0,256,0.01,4,1846794,8.45278425,2212.81935,11.35,1.135,10,2.038616974,5
500,39,41,1200,bidirectional,0.2,256,0.001,4,5266442,10.08843687,7239.388333,96.65,96.63595908,96.6197724,96.62330542,33
500,39,41,1200,bidirectional,0.2,256,0.01,4,5266442,21.73123266,4296.097031,29.2,32.92284881,28.57789737,22.36943917,2
500,39,41,1200,unidirectional,0.2,256,0.001,4,1846794,3.995668102,3467.441251,97.03,97.01073875,97.00616537,97.0069075,48
500,39,41,1200,unidirectional,0.2,256,0.01,4,1846794,8.371010116,1656.503429,11.35,1.135,10,2.038616974,1
50,43,37,350,bidirectional,0,128,0.001,1,136714,0.098902597,155.2264878,80.88,80.62369115,80.61086852,80.57387813,25
50,43,37,350,bidirectional,0,128,0.01,1,136714,0.095421257,116.135507,80.97,80.89570167,80.70672516,80.73772912,16
50,43,37,350,unidirectional,0,128,0.001,1,68362,0.037388776,130.0971397,80.22,79.9227262,79.92138249,79.89946973,33
50,43,37,350,unidirectional,0,128,0.01,1,68362,0.049382618,107.42995,81.27,81.09920378,80.98297088,80.99177313,20
50,43,37,350,bidirectional,0.2,128,0.001,1,136714,0.103826428,222.0821633,81.35,81.13269506,81.107044,81.09799018,39
50,43,37,350,bidirectional,0.2,128,0.01,1,136714,0.106934198,128.5051051,81.77,81.59865303,81.58239173,81.56963464,18
50,43,37,350,unidirectional,0.2,128,0.001,1,68362,0.044589299,160.595386,80.9,80.6483042,80.66082009,80.63901653,34
50,43,37,350,unidirectional,0.2,128,0.01,1,68362,0.052333857,158.3718815,81.47,81.24337961,81.22316312,81.22149926,33
50,43,37,350,bidirectional,0,128,0.001,2,531978,0.25639975,192.6312389,81.39,81.22669423,81.13488851,81.15366268,18
50,43,37,350,bidirectional,0,128,0.01,2,531978,0.301361135,193.5076341,81.13,81.04555515,80.89596568,80.93174597,18
50,43,37,350,unidirectional,0,128,0.001,2,200458,0.141916411,194.2385723,81.13,80.92086391,80.8801927,80.87903085,31
50,43,37,350,unidirectional,0,128,0.01,2,200458,0.123049476,114.3976324,81.76,81.71418798,81.46443851,81.48658663,16
50,43,37,350,bidirectional,0.2,128,0.001,2,531978,0.294951659,192.0885455,81.62,81.41749089,81.3570649,81.35617648,18
50,43,37,350,bidirectional,0.2,128,0.01,2,531978,0.305731069,252.0268794,82.1,81.95263183,81.86661007,81.89091398,27
50,43,37,350,unidirectional,0.2,128,0.001,2,200458,0.135060343,251.8141505,81.4,81.20200044,81.19293233,81.17536223,38
50,43,37,350,unidirectional,0.2,128,0.01,2,200458,0.113522583,141.4454049,82.28,82.05402485,82.03370412,82.02764558,18
50,43,37,350,bidirectional,0,128,0.001,3,927242,0.428111757,233.6201737,81.52,81.38095637,81.2570071,81.2915575,19
50,43,37,350,bidirectional,0,128,0.01,3,927242,0.449429475,103.7536469,74.76,74.43835919,74.47337004,74.36801971,3
50,43,37,350,unidirectional,0,128,0.001,3,332554,0.191551196,229.5803521,81.42,81.24701588,81.14872218,81.17060653,26
50,43,37,350,unidirectional,0,128,0.01,3,332554,0.188827246,192.5629782,81.3,81.13503907,81.06649941,81.08207292,22
50,43,37,350,bidirectional,0.2,128,0.001,3,927242,0.439852097,305.1558239,81.85,81.67440993,81.59048078,81.60460553,18
50,43,37,350,bidirectional,0.2,128,0.01,3,927242,0.485247622,468.0694166,82.39,82.2298271,82.1636624,82.18410962,38
50,43,37,350,unidirectional,0.2,128,0.001,3,332554,0.226111208,235.1931248,81.82,81.65793963,81.54997467,81.56715505,22
50,43,37,350,unidirectional,0.2,128,0.01,3,332554,0.185845795,344.7552846,81.91,81.67354751,81.64649733,81.63795948,39
50,43,37,350,bidirectional,0,128,0.001,4,1322506,0.583225887,331.7256682,81.8,81.66169078,81.542039,81.55443416,16
50,43,37,350,bidirectional,0,128,0.01,4,1322506,0.565756018,140.3992638,17.04,3.409800189,16.70975753,5.663830016,2
50,43,37,350,unidirectional,0,128,0.001,4,464650,0.28991899,213.5979545,81.31,81.17090483,81.06979771,81.09968258,18
50,43,37,350,unidirectional,0,128,0.01,4,464650,0.25201895,79.35827206,11.35,1.135,10,2.038616974,1
50,43,37,350,bidirectional,0.2,128,0.001,4,1322506,0.548620139,299.6915097,81.79,81.59269589,81.55696482,81.55303703,16
50,43,37,350,bidirectional,0.2,128,0.01,4,1322506,0.727364392,158.578041,65.48,66.20258222,65.10095681,64.826014,1
50,43,37,350,unidirectional,0.2,128,0.001,4,464650,0.271016359,205.4783509,82.43,82.30447279,82.23417408,82.23642689,21
50,43,37,350,unidirectional,0.2,128,0.01,4,464650,0.329513782,90.80357121,11.37,11.13522705,10.02053388,2.07996681,1
50,43,37,350,bidirectional,0,256,0.001,1,535562,0.268001335,234.3581363,81.04,80.90181893,80.78702755,80.79170813,18
50,43,37,350,bidirectional,0,256,0.01,1,535562,0.356152218,290.6222582,81.6,81.38003063,81.34001954,81.32770215,19
50,43,37,350,unidirectional,0,256,0.001,1,267786,0.226147991,189.6957478,80.86,80.62971159,80.60239736,80.60208025,23
50,43,37,350,unidirectional,0,256,0.01,1,267786,0.218396289,286.7472918,81.31,81.09066751,81.08096748,81.06314206,32
50,43,37,350,bidirectional,0.2,256,0.001,1,535562,0.372864861,271.3114533,81.37,81.14862248,81.12971725,81.09134287,20
50,43,37,350,bidirectional,0.2,256,0.01,1,535562,0.314987113,234.4923528,81.75,81.65146818,81.56337258,81.54459807,18
50,43,37,350,unidirectional,0.2,256,0.001,1,267786,0.219276449,230.621153,81.22,81.01231379,80.93476691,80.9358385,28
50,43,37,350,unidirectional,0.2,256,0.01,1,267786,0.188180074,153.5239105,81.68,81.54538027,81.38915187,81.40408913,16
50,43,37,350,bidirectional,0,256,0.001,2,2112522,0.932852672,423.5824882,81.38,81.26694659,81.11512361,81.14444806,16
50,43,37,350,bidirectional,0,256,0.01,2,2112522,0.92972931,486.509117,81.1,80.86743499,80.89177706,80.86262492,21
50,43,37,350,unidirectional,0,256,0.001,2,794122,0.484007015,282.0061262,81.73,81.51868364,81.49881922,81.46453354,17
50,43,37,350,unidirectional,0,256,0.01,2,794122,0.310452049,449.0524921,81.03,80.81586641,80.76098289,80.75345539,49
50,43,37,350,bidirectional,0.2,256,0.001,2,2112522,0.938483283,464.1403616,81.87,81.715849,81.61484646,81.63387003,16
50,43,37,350,bidirectional,0.2,256,0.01,2,2112522,0.940749823,522.555479,81.53,81.34564889,81.36791606,81.31886705,21
50,43,37,350,unidirectional,0.2,256,0.001,2,794122,0.456751305,314.1327633,81.59,81.41624578,81.4025805,81.36153718,19
50,43,37,350,unidirectional,0.2,256,0.01,2,794122,0.464453121,305.2883322,82.05,81.88386285,81.84712328,81.85600361,19
50,43,37,350,bidirectional,0,256,0.001,3,3689482,1.469335466,739.5216367,81.53,81.41696526,81.25661936,81.29100078,16
50,43,37,350,bidirectional,0,256,0.01,3,3689482,1.512278285,440.2425536,41.49,40.10204135,40.74445874,35.77093624,6
50,43,37,350,unidirectional,0,256,0.001,3,1320458,0.677995961,371.328456,81.86,81.70665835,81.64152862,81.64892796,17
50,43,37,350,unidirectional,0,256,0.01,3,1320458,0.683531126,221.6424329,11.35,1.135,10,2.038616974,6
50,43,37,350,bidirectional,0.2,256,0.001,3,3689482,1.581772857,816.1663364,81.93,81.76926877,81.68994605,81.70609591,17
50,43,37,350,bidirectional,0.2,256,0.01,3,3689482,1.515117347,354.1783152,11.35,1.135,10,2.038616974,2
50,43,37,350,unidirectional,0.2,256,0.001,3,1320458,0.65163719,509.0686943,81.99,81.86360214,81.71991488,81.76188951,25
50,43,37,350,unidirectional,0.2,256,0.01,3,1320458,0.696021124,158.3815968,11.35,1.135,10,2.038616974,1
50,43,37,350,bidirectional,0,256,0.001,4,5266442,1.582870956,768.2873557,81.78,81.61309754,81.56171552,81.55841867,17
50,43,37,350,bidirectional,0,256,0.01,4,5266442,1.943662174,399.0159243,11.35,1.135,10,2.038616974,1
50,43,37,350,unidirectional,0,256,0.001,4,1846794,0.662125464,463.14135,82.14,82.04238732,81.92841251,81.92263489,19
50,43,37,350,unidirectional,0,256,0.01,4,1846794,0.848029553,245.2853288,11.35,1.135,10,2.038616974,4
50,43,37,350,bidirectional,0.2,256,0.001,4,5266442,1.852918956,880.2527241,81.86,81.66639502,81.65670569,81.64518666,17
50,43,37,350,bidirectional,0.2,256,0.01,4,5266442,1.965566105,897.1266773,11.35,1.135,10,2.038616974,13
50,43,37,350,unidirectional,0.2,256,0.001,4,1846794,0.692986486,398.4316964,82.17,82.02776429,81.94417575,81.96433083,17
50,43,37,350,unidirectional,0.2,256,0.01,4,1846794,0.891526172,196.8230916,11.35,1.135,10,2.038616974,1
